Strategies selected are: 
structure_name mc_cycles cal_time cal_steps rmsd_to_p26 restraint_scale_end R_start R_end rmsd(b)_start rmsd(b)_end
[opt_qm]
233_GGF03-new/0.9 4.1 167.11983 160.0 1.1306315342 1.0 0.54663 0.41993 0.08564 0.02861
233_GGF03-new/1.2 3.6 143.29505 135.2 1.39810591208 1.0 0.56911 0.47984 0.08836 0.02879
233_GGF03-new/1.5 3.0 117.91954 111.8 1.73043550538 1.0 0.58784 0.49046 0.08532 0.02908
234_GGF02-new/0.3 2.5 97.35758 82.8 0.378430219903 1.0 0.23164 0.23109 0.09064 0.02771
234_GGF02-new/0.6 3.0 116.0048 110.1 0.74644706456 1.0 0.54948 0.42929 0.08824 0.02752
234_GGF02-new/0.9 3.4 141.29925 133.3 1.06119835269 1.0 0.70706 0.51661 0.0879 0.02749
234_GGF02-new/1.2 3.5 136.6468 120.8 1.4068722084 1.0 0.76684 0.55796 0.08684 0.02771
234_GGF02-new/1.5 3.7 148.69389 137.2 1.72824676922 1.0 0.74751 0.61194 0.08606 0.02825
235_GGF05-new/0.3 3.0 111.2811 102.4 0.413270477046 1.0 0.17425 0.23551 0.09145 0.0287
235_GGF05-new/0.6 4.4 181.6138 175.7 0.876792527392 1.0 0.27352 0.35202 0.08953 0.02871
235_GGF05-new/0.9 4.8 199.82577 202.1 1.22502573981 1.0 0.42208 0.40626 0.08721 0.02864
235_GGF05-new/1.2 4.3 175.44189 171.8 1.66884873938 1.0 0.45132 0.49426 0.08665 0.02882
235_GGF05-new/1.5 3.1 120.89847 108.8 1.8610137078 1.0 0.54792 0.51618 0.08858 0.0288
236_GFA15-new/0.3 4.8 193.63104 195.5 0.560449327334 1.0 0.19061 0.24048 0.08911 0.02565
236_GFA15-new/0.6 4.3 176.44567 160.5 0.873100796547 1.0 0.34757 0.33417 0.0892 0.02584
236_GFA15-new/0.9 4.3 177.89689 173.2 1.24220153435 1.0 0.56401 0.45104 0.08883 0.02662
236_GFA15-new/1.2 4.4 185.9825 177.5 1.54067347315 1.0 0.53771 0.53174 0.08869 0.02766
236_GFA15-new/1.5 4.3 187.36891 181.7 1.67349978719 1.0 0.57135 0.53989 0.08691 0.02684
237_GFA07-new/0.3 2.5 98.04975 82.2 0.30073529863 1.0 0.23464 0.1846 0.09271 0.02544
237_GFA07-new/0.6 4.2 175.91219 168.9 0.589152884151 1.0 0.53416 0.28469 0.08826 0.02604
237_GFA07-new/0.9 4.2 173.32885 164.3 0.973919151721 1.0 0.58251 0.49516 0.09057 0.02764
237_GFA07-new/1.2 3.8 161.65576 147.3 1.29454791776 1.0 0.63234 0.56823 0.08913 0.0278
237_GFA07-new/1.5 4.1 174.47876 165.9 1.57690931459 1.0 0.66633 0.55983 0.09006 0.02701
238_GFA10-new/0.3 2.7 106.16299 93.0 0.282299703155 1.0 0.21263 0.14634 0.08907 0.02568
238_GFA10-new/0.6 3.8 153.60261 147.9 0.534425180286 1.0 0.5001 0.29093 0.09015 0.02552
